tip_label,species,status,tip_order
Acer_saccharum,Acer_saccharum,exisiting species in the megatree,398
Acer_pseudoplatanus,Acer_pseudoplatanus,exisiting species in the megatree,399
Aesculus_hippocastanum,Aesculus_hippocastanum,exisiting species in the megatree,400
Aesculus_californica,Aesculus_californica,exisiting species in the megatree,401
Sapindus_saponaria,Sapindus_saponaria,exisiting species in the megatree,402
Nephelium_lappaceum,Nephelium_lappaceum,exisiting species in the megatree,403
Carapa_procera,Carapa_procera,exisiting species in the megatree,404
Carapa_guianensis,Carapa_guianensis,exisiting species in the megatree,405
Swietenia_macrophylla,Swietenia_macrophylla,exisiting species in the megatree,406
Cedrela_odorata,Cedrela_odorata,exisiting species in the megatree,407
Guarea_guidonia,Guarea_guidonia,exisiting species in the megatree,408
Quassia_amara,Quassia_amara,exisiting species in the megatree,409
Zanthoxylum_americanum,Zanthoxylum_americanum,grafted at genus level,410
